# RA Dec Z BPTCLASS SM Dn4000 SPECSFR SM_weight
161.062230 22.371183 0.019391 -1.000000 11.025331 1.937289 -12.480220 2.751454e-09
160.118230 9.182567 0.019458 4.000000 11.052252 1.935702 -12.584580 2.579194e-09
178.416540 43.460942 0.019690 1.000000 11.094747 1.583812 -10.624570 2.330723e-09
181.112770 1.895996 0.019719 -1.000000 11.248877 1.982496 -12.543680 1.616505e-09
162.033860 18.188695 0.020024 4.000000 11.021072 1.875863 -12.364410 2.779230e-09
151.021880 31.185459 0.020656 4.000000 11.027022 1.982904 -12.714040 2.740686e-09
176.009000 19.949827 0.020796 -1.000000 11.212844 2.010897 -12.603650 1.760055e-09
177.013980 30.359329 0.020980 4.000000 11.069716 1.793100 -10.510000 2.474451e-09
178.869590 11.968366 0.021217 4.000000 11.048097 1.948222 -12.229490 2.605756e-09
198.362290 27.802378 0.021317 4.000000 11.034784 1.903725 -12.452400 2.690022e-09
166.660300 53.367111 0.021365 3.000000 11.164826 1.683074 -10.544600 1.972518e-09
198.176630 4.729676 0.021440 1.000000 11.222866 1.349912 -12.003710 1.718785e-09
175.598850 10.264160 0.021604 5.000000 11.071901 1.936577 -12.383110 2.460991e-09
175.844750 16.485396 0.021794 5.000000 11.350866 1.685933 -10.699700 1.271847e-09
241.667430 30.099071 0.021899 3.000000 11.003223 1.703335 -11.399640 2.901928e-09
169.527720 23.397323 0.022056 -1.000000 11.157121 1.952154 -12.715830 2.008905e-09
119.873800 27.026436 0.022181 -1.000000 11.102633 1.967992 -12.483750 2.287194e-09
188.921640 26.523081 0.022208 -1.000000 11.267875 2.074972 -12.567790 1.545691e-09
178.177570 20.631311 0.022213 -1.000000 11.120040 1.911814 -12.497170 2.193640e-09
183.906510 23.981876 0.022352 2.000000 11.027302 2.027772 -12.411400 2.738302e-09
208.033000 16.969743 0.022398 -1.000000 11.041064 2.010377 -12.531580 2.649715e-09
138.414460 29.992960 0.022515 4.000000 11.162602 1.896414 -12.271940 1.982492e-09
143.933520 31.705468 0.022536 3.000000 11.152823 1.966635 -12.185630 2.029425e-09
178.901630 29.995919 0.022676 5.000000 11.013978 1.838107 -12.200850 2.827203e-09
203.116390 7.316443 0.022686 4.000000 11.110826 1.999232 -11.862610 2.242938e-09
202.358050 11.007889 0.022720 4.000000 11.116461 1.968838 -12.781420 2.212288e-09
199.964710 22.999886 0.022970 2.000000 11.000566 1.923550 -10.903110 2.920051e-09
201.041760 13.976546 0.022968 4.000000 11.282003 1.983360 -12.509720 1.494659e-09
172.925070 28.153591 0.023011 -1.000000 11.030189 1.960860 -12.059430 2.719323e-09
153.460500 38.764896 0.023086 -1.000000 11.321558 2.032768 -12.481000 1.362001e-09
201.146540 6.529120 0.023097 3.000000 11.041174 1.785577 -11.112900 2.648575e-09
203.733110 13.742161 0.023122 4.000000 11.059278 2.044855 -12.528980 2.536805e-09
137.155380 37.621605 0.023153 2.000000 11.084788 2.036523 -12.542860 2.386229e-09
201.002970 9.710202 0.023238 4.000000 11.082359 1.723542 -12.375360 2.400135e-09
191.109150 37.121221 0.023253 4.000000 11.042501 1.939173 -12.429500 2.640616e-09
183.039850 17.757025 0.023336 -1.000000 11.098064 1.844185 -12.133330 2.311661e-09
207.878630 14.092223 0.023335 3.000000 11.072286 1.853719 -11.312650 2.458929e-09
156.430390 39.646380 0.023427 4.000000 11.011554 1.937095 -12.811110 2.843443e-09
207.411620 4.238293 0.023446 4.000000 11.139954 2.014284 -12.636290 2.092714e-09
181.158570 1.787744 0.023511 3.000000 11.067062 1.804381 -11.637950 2.490105e-09
136.497680 35.377377 0.023525 4.000000 11.098834 2.011398 -12.716040 2.307874e-09
197.756470 29.636703 0.023516 -1.000000 11.042832 1.950412 -12.669310 2.638348e-09
158.563170 52.870827 0.023536 -1.000000 11.002702 1.985671 -12.217790 2.904508e-09
171.206920 23.945232 0.023624 4.000000 11.036292 1.830735 -11.875520 2.679579e-09
212.127910 8.931907 0.023710 4.000000 11.151475 1.971263 -12.391400 2.035796e-09
315.282280 -0.195181 0.023714 3.000000 11.159698 1.954094 -12.222940 1.996416e-09
211.245370 11.871630 0.023770 -1.000000 11.011379 1.652616 -11.814370 2.844697e-09
154.488360 41.114302 0.023852 2.000000 11.030595 1.911374 -12.016030 2.716963e-09
194.898780 27.959268 0.023909 -1.000000 11.386087 2.021858 -12.577930 1.171310e-09
160.379980 37.312852 0.024037 3.000000 11.106153 1.757151 -12.504590 2.267688e-09
213.783390 3.112735 0.024192 5.000000 11.189516 1.882222 -10.603700 1.860069e-09
201.820200 32.030710 0.024379 4.000000 11.077592 1.921908 -12.327980 2.428278e-09
127.857500 40.956235 0.024419 5.000000 11.338666 1.937293 -10.869520 1.308834e-09
